DensePolyNN:
experiment,accuracy,nr_linear_layers,learning_rate,beta1,beta2,epsilon,weight_decay
57,0.8252,5,0.0007311766387099341,0.662895471017064,0.9374982864152936,8.863004432894333e-08,0.0006752465103105787
58,0.7133,9,0.00482507231899225,0.964814340434627,0.9077955796068035,9.675737297107757e-08,0.007433555670002179
58,0.6671,9,0.00482507231899225,0.964814340434627,0.9077955796068035,9.675737297107757e-08,0.007433555670002179
58,0.5443,9,0.00482507231899225,0.964814340434627,0.9077955796068035,9.675737297107757e-08,0.007433555670002179
59,0.6427,7,0.0020085080975413326,0.40081352654299324,0.9705533323348391,9.102472774239871e-08,0.01249659639859343
59,0.7379,7,0.0020085080975413326,0.40081352654299324,0.9705533323348391,9.102472774239871e-08,0.01249659639859343
59,0.6911,7,0.0020085080975413326,0.40081352654299324,0.9705533323348391,9.102472774239871e-08,0.01249659639859343
60,0.7976,8,0.0035570450084686607,0.9130869945453549,0.9182658867715771,1.4064950467454686e-08,0.0021186373345284727
60,0.8076,8,0.0035570450084686607,0.9130869945453549,0.9182658867715771,1.4064950467454686e-08,0.0021186373345284727
60,0.7982,8,0.0035570450084686607,0.9130869945453549,0.9182658867715771,1.4064950467454686e-08,0.0021186373345284727
61,0.8329,1,0.0016036971180882662,0.5744610096295066,0.9750256951761364,3.323669611103545e-09,0.0010292605897086581
61,0.8322,1,0.0016036971180882662,0.5744610096295066,0.9750256951761364,3.323669611103545e-09,0.0010292605897086581
61,0.833,1,0.0016036971180882662,0.5744610096295066,0.9750256951761364,3.323669611103545e-09,0.0010292605897086581
62,0.1,15,0.0005992876366136265,0.993260552878514,0.9542407382316879,8.924905057971643e-09,0.04930440827896107
62,0.1,15,0.0005992876366136265,0.993260552878514,0.9542407382316879,8.924905057971643e-09,0.04930440827896107
62,0.1,15,0.0005992876366136265,0.993260552878514,0.9542407382316879,8.924905057971643e-09,0.04930440827896107
63,0.8225,6,0.00016896633212159023,0.6786511233334167,0.9094458528568695,1.9272778164442303e-08,0.002537493579941963
63,0.8195,6,0.00016896633212159023,0.6786511233334167,0.9094458528568695,1.9272778164442303e-08,0.002537493579941963
63,0.8206,6,0.00016896633212159023,0.6786511233334167,0.9094458528568695,1.9272778164442303e-08,0.002537493579941963
64,0.4713,11,0.0025061155652660117,0.9867082003574413,0.9944994269541325,2.9305337267050164e-08,0.014628837915944028
64,0.4842,11,0.0025061155652660117,0.9867082003574413,0.9944994269541325,2.9305337267050164e-08,0.014628837915944028
64,0.4534,11,0.0025061155652660117,0.9867082003574413,0.9944994269541325,2.9305337267050164e-08,0.014628837915944028
65,0.1,12,0.003357980629413559,0.9941572475090772,0.9594631885143553,2.264961114234294e-08,0.026308157484611728
65,0.1,12,0.003357980629413559,0.9941572475090772,0.9594631885143553,2.264961114234294e-08,0.026308157484611728
65,0.1,12,0.003357980629413559,0.9941572475090772,0.9594631885143553,2.264961114234294e-08,0.026308157484611728
66,0.8284,6,0.0005935608709292936,0.974049352356741,0.9297796616427606,8.090076463890028e-08,0.003293786765477236
66,0.8174,6,0.0005935608709292936,0.974049352356741,0.9297796616427606,8.090076463890028e-08,0.003293786765477236
66,0.8282,6,0.0005935608709292936,0.974049352356741,0.9297796616427606,8.090076463890028e-08,0.003293786765477236
67,0.7172,3,0.0003326835741567993,0.966880334843302,0.9072000294864037,2.374157727466878e-08,0.08042820103396947
67,0.7182,3,0.0003326835741567993,0.966880334843302,0.9072000294864037,2.374157727466878e-08,0.08042820103396947
67,0.7169,3,0.0003326835741567993,0.966880334843302,0.9072000294864037,2.374157727466878e-08,0.08042820103396947
68,0.8255,5,0.00019887737937913824,0.9822351576326254,0.9818667637948311,3.4490151178550686e-08,0.00662832258677929
68,0.827,5,0.00019887737937913824,0.9822351576326254,0.9818667637948311,3.4490151178550686e-08,0.00662832258677929
68,0.8261,5,0.00019887737937913824,0.9822351576326254,0.9818667637948311,3.4490151178550686e-08,0.00662832258677929
69,0.1,14,0.0003028755987584214,0.9960082985021387,0.9033328702008033,2.7169642677639668e-08,0.0038072981246078386
69,0.1,14,0.0003028755987584214,0.9960082985021387,0.9033328702008033,2.7169642677639668e-08,0.0038072981246078386
69,0.1,14,0.0003028755987584214,0.9960082985021387,0.9033328702008033,2.7169642677639668e-08,0.0038072981246078386
70,0.8268,2,0.0005390040692416376,0.8662549763838644,0.9158157148352313,2.5605454710220406e-08,0.006311001956446072
70,0.8257,2,0.0005390040692416376,0.8662549763838644,0.9158157148352313,2.5605454710220406e-08,0.006311001956446072
70,0.8269,2,0.0005390040692416376,0.8662549763838644,0.9158157148352313,2.5605454710220406e-08,0.006311001956446072
71,0.8256,4,0.0023525135938546374,0.983027768971861,0.9881731877831726,1.8811871536831977e-08,0.005570133497906149
71,0.8209,4,0.0023525135938546374,0.983027768971861,0.9881731877831726,1.8811871536831977e-08,0.005570133497906149
71,0.8287,4,0.0023525135938546374,0.983027768971861,0.9881731877831726,1.8811871536831977e-08,0.005570133497906149
72,0.1,13,0.004039893428611368,0.4209216510151542,0.9971730159302301,7.149694104877529e-08,0.0573208955414187
72,0.1,13,0.004039893428611368,0.4209216510151542,0.9971730159302301,7.149694104877529e-08,0.0573208955414187
72,0.1,13,0.004039893428611368,0.4209216510151542,0.9971730159302301,7.149694104877529e-08,0.0573208955414187
73,0.8322,3,0.0005382707227132456,0.7408605599367755,0.9965510867361235,6.235316615254131e-08,0.002471599554220083
73,0.8318,3,0.0005382707227132456,0.7408605599367755,0.9965510867361235,6.235316615254131e-08,0.002471599554220083
73,0.8325,3,0.0005382707227132456,0.7408605599367755,0.9965510867361235,6.235316615254131e-08,0.002471599554220083
74,0.8126,8,0.0031125618620899205,0.8975273012688053,0.9811218458080477,3.394409542965182e-08,0.0018795900383609565
74,0.8071,8,0.0031125618620899205,0.8975273012688053,0.9811218458080477,3.394409542965182e-08,0.0018795900383609565
74,0.8015,8,0.0031125618620899205,0.8975273012688053,0.9811218458080477,3.394409542965182e-08,0.0018795900383609565
75,0.1,10,0.00256195004646932,0.413113539922375,0.9671026448242276,4.245314492700106e-08,0.010477963680757187
75,0.1,10,0.00256195004646932,0.413113539922375,0.9671026448242276,4.245314492700106e-08,0.010477963680757187
75,0.415,10,0.00256195004646932,0.413113539922375,0.9671026448242276,4.245314492700106e-08,0.010477963680757187
76,0.8249,1,0.00455180958866993,0.5017479971619782,0.9037381161938935,7.075447901916198e-08,0.0014261640107728125
76,0.8247,1,0.00455180958866993,0.5017479971619782,0.9037381161938935,7.075447901916198e-08,0.0014261640107728125
76,0.8246,1,0.00455180958866993,0.5017479971619782,0.9037381161938935,7.075447901916198e-08,0.0014261640107728125
77,0.8238,2,0.00472062218119472,0.7943488318745457,0.965814477631771,6.324461180665011e-09,0.0027710848286209514
77,0.8267,2,0.00472062218119472,0.7943488318745457,0.965814477631771,6.324461180665011e-09,0.0027710848286209514
77,0.8178,2,0.00472062218119472,0.7943488318745457,0.965814477631771,6.324461180665011e-09,0.0027710848286209514
78,0.8181,3,0.0006492354232994539,0.9880692252913432,0.9906204358299534,2.9760887524860238e-08,0.012592968515977833
78,0.8176,3,0.0006492354232994539,0.9880692252913432,0.9906204358299534,2.9760887524860238e-08,0.012592968515977833
78,0.8208,3,0.0006492354232994539,0.9880692252913432,0.9906204358299534,2.9760887524860238e-08,0.012592968515977833
79,0.8332,5,0.00035529323121496115,0.6763158324650638,0.9057858194949152,5.377112093347792e-09,0.0003221337957084458
79,0.8326,5,0.00035529323121496115,0.6763158324650638,0.9057858194949152,5.377112093347792e-09,0.0003221337957084458
79,0.8296,5,0.00035529323121496115,0.6763158324650638,0.9057858194949152,5.377112093347792e-09,0.0003221337957084458
80,0.7737,7,0.0034433091970236893,0.40550337388565283,0.9391878387739059,6.877189024048704e-08,0.0007638869717673136
