nr,lr,b1,b2,epsilon,weight_decay,energy,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
55,0.06074649,0.286262676,0.963808027,7.26E-08,0.051527265,2289.208743,0.0972125,0.3446625
56,0.034502889,0.922687365,0.949610778,4.22E-08,0.051906199,2294.180137,0.30895,0.3446625
57,0.027488965,0.360824628,0.992806269,2.64E-08,0.090342612,2296.90597,0.12445,0.3446625
58,0.02854118,0.398105435,0.848272293,5.21E-08,0.020473404,2285.293835,0.1160875,0.3446625
59,0.087285331,0.399020614,0.938793127,4.85E-08,0.076589786,2280.749842,0.105025,0.3446625
60,0.093260503,0.686655104,0.986198709,2.53E-08,0.003778066,2291.138033,0.1231,0.3446625
61,0.085701017,0.85168522,0.99782423,9.13E-08,0.095883289,2298.961369,0.2201625,0.3446625
62,0.058100003,0.208185115,0.822610494,6.70E-09,0.008708423,2289.392204,0.1015875,0.3446625
63,0.075067711,0.889438133,0.888703156,3.05E-08,0.021651033,2296.117314,0.225725,0.3446625
grid,,,,,,,,
0,0.060004,0.46,0.8,1.00E-09,0.04,2243.326769,0.1095125,0.1095125
1,0.080002,0.46,0.88,1.00E-09,0.02,2231.78387,0.102375,0.1095125
2,0.080002,0.28,0.8,6.04E-08,0.02,2237.169273,0.102475,0.1095125
3,0.060004,0.46,0.92,2.08E-08,0.08,2241.493433,0.106575,0.1095125
4,0.040006,0.28,0.84,8.02E-08,0,2210.734139,0.101675,0.1095125
5,0.040006,0.1,0.84,8.02E-08,0.04,2241.382435,0.100525,0.1095125
6,0.040006,0.1,0.8,2.08E-08,0.08,2249.064165,0.1048625,0.1095125
7,0.060004,0.64,0.88,8.02E-08,0,2219.542182,0.12275,0.12275
8,0.080002,0.1,0.96,6.04E-08,0.08,2238.628521,0.101375,0.12275
9,0.080002,0.28,0.96,4.06E-08,0,2203.418503,0.10215,0.12275
10,0.040006,0.82,0.88,6.04E-08,0.02,2248.681059,0.1633625,0.1633625
11,1.00E-05,0.46,0.84,1.00E-09,0.02,2270.295947,0.3698375,0.3698375
12,1.00E-05,0.1,0.92,1.00E-09,0.06,2268.435689,0.3013,0.3698375
13,1.00E-05,0.28,0.92,4.06E-08,0.02,2266.02086,0.3678,0.3698375
14,0.040006,0.28,0.96,2.08E-08,0.08,2239.680265,0.1030375,0.3698375
15,1.00E-05,0.64,0.96,8.02E-08,0.02,2259.454296,0.3696,0.3698375
16,0.040006,0.64,0.84,1.00E-09,0.02,2246.767184,0.125275,0.3698375
17,1.00E-05,0.46,0.96,4.06E-08,0.08,2259.991909,0.2823625,0.3698375
18,0.060004,0.1,0.88,1.00E-09,0,2201.806435,0.101225,0.3698375
19,0.040006,0.46,0.96,1.00E-09,0,2208.137372,0.1376125,0.3698375
20,0.040006,0.64,0.92,4.06E-08,0.06,2241.44394,0.1553125,0.3698375
21,0.060004,0.64,0.96,6.04E-08,0,2205.510867,0.1033125,0.3698375
22,0.060004,0.1,0.84,1.00E-09,0.08,2230.2041,0.1041375,0.3698375
23,0.040006,0.64,0.96,1.00E-09,0,2210.654351,0.1066875,0.3698375
24,0.060004,0.46,0.84,4.06E-08,0.08,2224.510186,0.10695,0.3698375
25,0.020008,0.64,0.88,8.02E-08,0.06,2241.213493,0.2117875,0.3698375
26,0.080002,0.46,0.84,6.04E-08,0.08,2229.760522,0.1041875,0.3698375
27,0.020008,0.46,0.92,8.02E-08,0.02,2239.967991,0.110775,0.3698375
