nr,lr,b1,b2,energy,,,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
20,0.0137204,0.151736184,0.879887291,2211.800262,,,0.1020625,0.388175
21,0.044206935,0.19570771,0.80836969,2199.440365,,,0.1022,0.388175
22,0.07792388,0.926365396,0.811543981,2202.076369,,,0.1031625,0.388175
23,0.009284873,0.423118913,0.824213726,2209.826576,,,0.1072125,0.388175
24,0.091367433,0.406784684,0.800927629,2191.698347,,,0.1023,0.388175
25,0.077400325,0.910508582,0.892938394,2200.372468,,,0.102525,0.388175
26,0.078581914,0.417434048,0.998178935,2194.595429,,,0.1010875,0.388175
27,0.09261512,0.977405477,0.878376521,2197.067892,,,0.1138875,0.388175
28,0.008022529,0.279058049,0.99860621,2205.554396,,,0.11365,0.388175
29,0.012129613,0.991886403,0.853773755,2217.152237,,,0.3539625,0.388175
30,0.024446815,0.998356231,0.810102076,2191.88844,,,0.1201,0.388175
31,0.096996406,0.905440956,0.815916424,2197.449308,,,0.1013125,0.388175
32,0.053743464,0.483017087,0.901945889,2193.747293,,,0.117975,0.388175
33,0.049033473,0.595895887,0.990600462,2196.905586,,,0.1032375,0.388175
34,0.003656888,0.611888931,0.812911839,2206.032916,,,0.24645,0.388175
35,0.000544471,0.953389753,0.997233281,2209.333034,,,0.3940625,0.3940625
36,0.003599663,0.996097762,0.944750382,2208.763233,,,0.3917125,0.3940625
37,0.000477465,0.982455341,0.987669759,2210.574445,,,0.3943125,0.3943125
38,0.005772683,0.992926547,0.891034684,2210.066225,,,0.3823625,0.3943125
39,0.066999307,0.101398094,0.808849051,2188.59955,,,0.101825,0.3943125
40,0.002069803,0.997680445,0.898244408,2214.022067,,,0.3863375,0.3943125
41,0.00069648,0.986480018,0.995711989,2213.132576,,,0.3911125,0.3943125
42,0.095438605,0.950169396,0.984792321,2203.45767,,,0.104675,0.3943125
