nr,lr,b1,b2,epsilon,weight_decay,energy,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
2,0.080002,0.64,0.84,2.08E-08,0.06,278.8935165,0.280875,0.280875
3,1.00E-05,0.82,0.92,4.06E-08,0.06,282.436094,0.6768,0.6768
4,0.040006,0.1,0.96,6.04E-08,0.02,278.1064346,0.18625,0.6768
5,1.00E-05,0.1,0.8,8.02E-08,0.06,283.4651865,0.6788625,0.6788625
6,1.00E-05,0.46,0.84,4.06E-08,0.08,285.1077383,0.656575,0.6788625
7,0.060004,0.28,0.92,2.08E-08,0.02,278.9094528,0.206625,0.6788625
8,1.00E-05,0.1,0.92,1.00E-09,0.08,284.6409002,0.6567,0.6788625
9,0.080002,0.28,0.96,1.00E-09,0,269.397697,0.2126125,0.6788625
10,0.060004,0.46,0.84,8.02E-08,0.02,279.0348825,0.1814375,0.6788625
11,0.040006,0.82,0.96,2.08E-08,0.04,283.3073341,0.3590625,0.6788625
12,0.020008,0.28,0.88,6.04E-08,0.08,284.3572557,0.69195,0.69195
13,0.080002,0.28,0.88,2.08E-08,0.08,277.8655575,0.279175,0.69195
14,0.020008,0.64,0.8,8.02E-08,0,273.0074019,0.221475,0.69195
15,0.020008,0.64,0.92,6.04E-08,0.02,284.2470065,0.739075,0.739075
16,0.040006,0.28,0.92,2.08E-08,0,262.4273729,0.23755,0.739075
17,0.060004,0.1,0.92,8.02E-08,0,260.6991347,0.2103625,0.739075
18,0.020008,0.82,0.96,4.06E-08,0.06,275.4513027,0.721525,0.739075
19,0.080002,0.28,0.8,6.04E-08,0,261.1639072,0.1897,0.739075
20,1.00E-05,0.46,0.8,2.08E-08,0.06,276.2660439,0.675025,0.739075
21,0.060004,0.64,0.84,1.00E-09,0.08,272.4654482,0.2557875,0.739075
22,0.020008,0.64,0.96,1.00E-09,0.08,274.4433248,0.7566375,0.7566375
23,1.00E-05,0.28,0.88,4.06E-08,0.06,275.6346775,0.6789,0.7566375
24,0.060004,0.64,0.96,8.02E-08,0.02,269.5989212,0.1786875,0.7566375
25,0.060004,0.28,0.96,2.08E-08,0.08,269.8047332,0.277375,0.7566375
