nr,lr,b1,b2,energy,,,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
57,0.060004,0.1,0.8,264.4172865,,,0.2121,0.81455
58,1.00E-05,0.28,0.96,270.6381713,,,0.81385,0.81455
59,1.00E-05,0.28,0.84,271.6529358,,,0.813625,0.81455
60,1.00E-05,0.82,0.84,272.8650385,,,0.814375,0.81455
61,0.020008,0.82,0.92,269.9799575,,,0.433325,0.81455
62,0.060004,0.28,0.96,264.4747331,,,0.2142375,0.81455
63,0.040006,0.46,0.8,264.2050652,,,0.1818,0.81455
bayesian_uniform,,,,,,,,
0,0.091098486,0.945342098,0.916445515,255.9188084,,,0.166125,0.166125
1,0.032229337,0.369610891,0.974249157,257.899676,,,0.2116875,0.2116875
2,0.094431304,0.106173395,0.801237273,257.166249,,,0.1652625,0.2116875
3,0.001123607,0.55816386,0.800220709,263.4215571,,,0.8380625,0.8380625
4,0.007211942,0.636233554,0.800956162,263.1941046,,,0.6985125,0.8380625
5,0.000202656,0.43026397,0.805365535,263.8842596,,,0.84145,0.84145
6,0.062824762,0.501965874,0.815474862,256.9022412,,,0.20555,0.84145
7,0.017139027,0.854897136,0.947270126,262.9173244,,,0.4889,0.84145
8,0.09544531,0.991431711,0.997207993,260.4103285,,,0.202425,0.84145
9,0.001283861,0.650050934,0.932964326,264.9146088,,,0.83795,0.84145
10,0.001968138,0.53043334,0.851970699,263.7434163,,,0.8347,0.84145
11,0.000907854,0.600255963,0.898446898,263.7916756,,,0.8388375,0.84145
12,0.000936029,0.534290127,0.898965059,263.7699181,,,0.8390375,0.84145
13,0.002189331,0.723153386,0.986826249,264.7648352,,,0.836975,0.84145
14,0.002945434,0.58655301,0.966022631,263.7583716,,,0.824,0.84145
15,0.00165293,0.639255991,0.959639952,264.5647835,,,0.835925,0.84145
16,0.014923465,0.23706507,0.984558747,262.1097306,,,0.3278,0.84145
17,0.003958457,0.418723214,0.995746556,264.2870297,,,0.718675,0.84145
18,0.08424995,0.662707993,0.980150909,257.7264644,,,0.2392125,0.84145
19,0.011909192,0.118308962,0.916877977,261.2734033,,,0.30825,0.84145
20,0.090269358,0.860031322,0.989936326,257.6121862,,,0.207025,0.84145
21,0.007234032,0.755742051,0.816609617,263.8578768,,,0.637,0.84145
22,0.004047558,0.986984747,0.947626797,264.3130503,,,0.83505,0.84145
23,0.001484995,0.952336957,0.976218287,264.6240194,,,0.8300375,0.84145
